giftId,name,category,image,description,price,average_rating,link
25,Amazon Echo (4th,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/61mu3UykGQL._AC_UL300_SR300,200_.jpg","Amazon Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",64.99,4.7,https://www.amazon.com/Echo-4th-Gen/dp/B07XKF5RM3/ref=zg_mg_g_amazon-devices_d_sccl_25/142-5052663-6042538?psc=1
26,Elmer's Disappearing Purple,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/71rAGmxn+jL._AC_UL300_SR300,200_.jpg","Elmer's Disappearing Purple School Glue Sticks, Washable, 7 Grams, 30 Count",7.64,4.9,https://www.amazon.com/Elmers-Disappearing-Purple-Washable-0-24-ounce/dp/B000VXO4L2/ref=zg_mg_g_arts-crafts_d_sccl_1/142-5959884-0534120?psc=1
27,Apple Barrel Acrylic,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/71TKvhR+cgL._AC_UL300_SR300,200_.jpg","Apple Barrel Acrylic Paint in Assorted Colors (2 oz), 21484, Admiral Blue",0.58,4.7,https://www.amazon.com/Apple-Barrel-Acrylic-Assorted-21484/dp/B00889ZAP0/ref=zg_mg_g_arts-crafts_d_sccl_2/142-5959884-0534120?psc=1
28,Redtwo 5100 Clay,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81TU1cf93kL._AC_UL300_SR300,200_.jpg","Redtwo 5100 Clay Beads Bracelet Making Kit, Flat Preppy Beads for Friendship Jewelry Making,Polymer Heishi Beads with Charms Gifts for Teen Girls Crafts for Girls Ages 8-12",6.99,4.6,https://www.amazon.com/Redtwo-Bracelet-Making-Jewelry-Polymer/dp/B09X9DPDBQ/ref=zg_mg_g_arts-crafts_d_sccl_3/142-5959884-0534120?psc=1
29,Dowsabel Clay Beads,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81ND06mRTqL._AC_UL300_SR300,200_.jpg","Dowsabel Clay Beads Bracelet Making Kit for Beginner, 5000 Pcs Preppy Polymer Clay Beads with Charms Kit for Jewelry Making, DIY Arts and Crafts Birthday Gifts Toys for Kids Age 6-13",6.99,4.6,https://www.amazon.com/Dowsabel-Bracelet-Beginner-5000Pcs-Birthday/dp/B0BWMPGFVL/ref=zg_mg_g_arts-crafts_d_sccl_4/142-5959884-0534120?psc=1
30,Soucolor School Supplies,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/71Zj-yxJo+L._AC_UL300_SR300,200_.jpg","Soucolor School Supplies 9"" x 12"" Sketch Book for High College School Teacher Student, 1-Pack 100 Sheets Spiral Bound Art Sketchbook, Acid Free (68lb/100gsm) Artist Blank Book for Kids, Back to School",12.99,4.8,https://www.amazon.com/Soucolor-Sketchbook-Painting-Sketching-Christmas/dp/B0CD1MKJPN/ref=zg_mg_g_arts-crafts_d_sccl_5/142-5959884-0534120?psc=1
31,"Scissors, iBayam 8""",Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/61eT3wcT+KL._AC_UL300_SR300,200_.jpg","Scissors, iBayam 8"" All Purpose Scissors Bulk 3-Pack, Ultra Sharp 2.5mm Thick Blade Shears Comfort-Grip Scissors for Office Desk Accessories Sewing Fabric Home Craft School Supplies, Right/Left Handed",9.99,4.8,https://www.amazon.com/iBayam-3-Pack-Ultra-Sharp-Scissors/dp/B07H3QKN2Z/ref=zg_mg_g_arts-crafts_d_sccl_6/142-5959884-0534120?psc=1
32,The Woobles Beginners,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/71JLFoxPKBL._AC_UL300_SR300,200_.jpg",The Woobles Beginners Crochet Kit with Easy Peasy Yarn as seen on Shark Tank - with Step-by-Step Video Tutorials - JoJo The Bunny,29.97,4.5,https://www.amazon.com/PRE-Order-Woobles-Beginners-Tutorials-Bunny/dp/B07BLS3RBR/ref=zg_mg_g_arts-crafts_d_sccl_7/142-5959884-0534120?psc=1
33,COO&KOO Charm Bracelet,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81gtivyPcDL._AC_UL300_SR300,200_.jpg","COO&KOO Charm Bracelet Making Kit, A Unicorn Girls Toy That Inspires Creativity and Imagination, Crafts for Ages 8-12 with Jewelry Making & Art Kit Perfect Gifts, Self-Expression!",15.99,4.5,https://www.amazon.com/COO-KOO-Creativity-Imagination-Self-Expression/dp/B07M6CDS77/ref=zg_mg_g_arts-crafts_d_sccl_8/142-5959884-0534120?psc=1
34,Soucolor 72-Color Colored,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81nW-2UgIHL._AC_UL300_SR300,200_.jpg","Soucolor 72-Color Colored Pencils for Adult Coloring Books, Back to School Supplies, Soft Core Artist Sketching Drawing Pencils Drawing Supplies, Art Supplies Kit for Adults Kids, Coloring Pencils Set",11.99,4.7,https://www.amazon.com/Soucolor-72-Color-Coloring-Crafting-72-Colors/dp/B01N09ZDEI/ref=zg_mg_g_arts-crafts_d_sccl_9/142-5959884-0534120?psc=1
35,Gionlion 6000 Clay,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81J9V3mm8PL._AC_UL300_SR300,200_.jpg","Gionlion 6000 Clay Beads Bracelet Making Kit, 24 Colors Flat Preppy Beads for Friendship Bracelets, Polymer Clay Beads with Charms for Jewelry Making, Crafts Gifts for Girls Ages 6-12",9.99,4.7,https://www.amazon.com/Bracelet-Gionlion-Polymer-Bracelets-Necklace/dp/B09G2979JS/ref=zg_mg_g_arts-crafts_d_sccl_10/142-5959884-0534120?psc=1
36,Crayola Construction Paper,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/61TbDzO158L._AC_UL300_SR300,200_.jpg","Crayola Construction Paper - 480ct (2pck), Bulk School Supplies For Kids, Classroom Supplies, Art Paper for Arts & Crafts",16.59,4.8,https://www.amazon.com/Crayola-Construction-Colors-Stocking-Stuffer/dp/B00MJ8JSFE/ref=zg_mg_g_arts-crafts_d_sccl_11/142-5959884-0534120?psc=1
37,Elmer's All Purpose,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/71dzQy-i3nL._AC_UL300_SR300,200_.jpg","Elmer's All Purpose School Glue Sticks, Washable, 7 Grams, 30 Count",10.99,4.8,https://www.amazon.com/Elmers-Purpose-School-Washable-0-24-ounce/dp/B0013CDGT6/ref=zg_mg_g_arts-crafts_d_sccl_12/142-5959884-0534120?psc=1
38,Wikki Stix for,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/71gs7LS4wmL._AC_UL300_SR300,200_.jpg",Wikki Stix for Doodlers - Kid's Travel Essential: Portable Creativity On-The-Go! Pack of 24 Wikki Stix in Neon and Primary Colors. Made in USA ! 3 & Up.,6.97,4.3,https://www.amazon.com/Wikki-Stix-Doodlers-Creativity-Go/dp/B00TF7ZZM2/ref=zg_mg_g_arts-crafts_d_sccl_13/142-5959884-0534120?psc=1
39,Elmer's Disappearing Purple,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/712vSpVCXuL._AC_UL300_SR300,200_.jpg","Elmer's Disappearing Purple School Glue, Washable, 6 Pack, 0.21-ounce sticks",3.67,4.8,https://www.amazon.com/Elmers-Disappearing-Purple-Washable-0-21-ounce/dp/B00143UIC2/ref=zg_mg_g_arts-crafts_d_sccl_14/142-5959884-0534120?psc=1
40,Surebonder Cordless Hot,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/41s2P2hsoxL._AC_UL300_SR300,200_.jpg","Surebonder Cordless Hot Glue Gun & ""Clear Stik"" Hot Glue Sticks for All Temperatures - Full Size 4"" L, 7/16"" D - 20 Pack - All Purpose, Made in USA (DT-20)",16.84,4.5,https://www.amazon.com/Surebonder-Cordless-Clear-Sticks-Temperatures/dp/B0CR9VZ9S2/ref=zg_mg_g_arts-crafts_d_sccl_15/142-5959884-0534120?psc=1
41,TBC The Best,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81rNJQ5JccL._AC_UL300_SR300,200_.jpg","TBC The Best Crafts Paint Sticks,12 Classic Colors, Washable Paint, Non-toxic, Tempera Paint Sticks for Kids and Students",6.99,4.8,https://www.amazon.com/TBC-Best-Crafts-Tempera-Washable/dp/B08BFYBTKY/ref=zg_mg_g_arts-crafts_d_sccl_16/142-5959884-0534120?psc=1
42,KALOUR Premium Colored,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/81xXp55F4BL._AC_UL300_SR300,200_.jpg","KALOUR Premium Colored Pencils,Set of 50 Colors,Artists Soft Core with Vibrant Color,Ideal for Layering Blending Shading,Color Pencils for Adults Beginners Coloring Book…",11.76,4.7,https://www.amazon.com/KALOUR-Layering-Blending-Beginners-Coloring/dp/B0BYS2D9CJ/ref=zg_mg_g_arts-crafts_d_sccl_17/142-5959884-0534120?psc=1
43,Crayola Air Dry,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/715OD-SxssL._AC_UL300_SR300,200_.jpg","Crayola Air Dry Clay for Kids (5lbs), Reusable Bucket of Terra Cotta Clay for Sculpting, Bulk Arts and Crafts Supplies, Ages 3+",15.75,4.6,https://www.amazon.com/Crayola-Clay-White-Bake-Modeling/dp/B01MZBUJGI/ref=zg_mg_g_arts-crafts_d_sccl_18/142-5959884-0534120?psc=1
44,Westcott Kids Back,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/41oqx3OIknL._AC_UL300_SR300,200_.jpg",Westcott Kids Back to School Bundle (12-Pack),9.98,4.7,https://www.amazon.com/Westcott-Kids-School-Bundle-12-Pack/dp/B0CX9JTPKK/ref=zg_mg_g_arts-crafts_d_sccl_19/142-5959884-0534120?psc=1
45,Magnetic Dots -,Arts Crafts,"https://images-na.ssl-images-amazon.com/images/I/61LGD49etuL._AC_UL300_SR300,200_.jpg","Magnetic Dots - Self Adhesive Magnet Dots (0.8"" x 0.8"") - Peel & Stick Magnetic Circles - Industrial Flexible Sticky Magnets - Sheets is Alternative to Magnetic Squares, Stickers, Strip and Tape",7.98,4.0,https://www.amazon.com/Round-Magnets-with-Adhesive-Backing/dp/B0929BWP1F/ref=zg_mg_g_arts-crafts_d_sccl_20/142-5959884-0534120?psc=1
